id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
620370183,Magee Pool,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Magee_Pool.jpg,Greenfield,5,15,42003151700,3,15,4,2-15,40.42501134,-79.93712836
1262424030,Manchester Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Manchester_Park.jpg,Manchester,6,21,42003210700,1,21,1,1-8,40.45863575,-80.02572689
1898260703,Marmaduke Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Marmaduke_Playground.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48438721,-80.04239565
1186365777,Marmaduke Playground Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Marmaduke_Playground_Spray.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48434604,-80.04227541
941453533,Marshall-California Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Marshall-California_Park.jpg,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,40.46261996,-80.03058112
1443379018,Martin Luther King Park,Continuous,Drinking Fountain,f,Regular Fountain,,Terrace Village,6,5,42003051100,3,5,2,2-1,40.43997128,-79.9743711
1895367685,Mary Schenley Memorial,,Decorative,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Mary_Schenley_Memorial.jpg,Central Oakland,3,4,42003040500,3,4,4,2-11,40.44200579,-79.95189862
922874354,McBride Park,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/McBride_Park.jpg,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.36998298,-79.90703605
1874907790,McBride Park Pool,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/McBride_Park_Pool.jpg,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37023846,-79.90744129
1382189193,McCandless Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/McCandless_Playground.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48078954,-79.95255392
1426487193,McGonigle Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/McGonigle_Park.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45941522,-80.06546059
1316648522,McKinley Park Lower,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/McKinley_Park_Lower.jpg,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41343444,-79.99761803
1127898064,McKnight Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/McKnight_Playground.jpg,Manchester,6,21,42003210700,1,21,1,1-8,40.45192262,-80.0227816
